Note,Category
Cosmetic products,Beauty
Gift card,Gift
Pet insurance,Pet
Gardening supplies,Household
Bike fare,Transportation
Birthday party,Social Life
Breakfast,Food
Sweater,Apparel
E-learning subscription,Education
Weekly pocket money,Allowance
Career coaching,Education
Beauty salon,Beauty
Holiday present,Gift
Pet training,Pet
Furniture purchase,Household
Car maintenance,Transportation
Movie night,Social Life
Dinner out,Food
Trousers,Apparel
School books,Education
Monthly pocket money,Allowance
Certification course,Education
Facial products,Beauty
Valentine's gift,Gift
Pet bed,Pet
Home repair,Household
Car fuel,Transportation
Club outing,Social Life
Lunch,Food
Sportswear,Apparel
Textbooks,Education
Monthly allowance,Allowance
Motivational seminar,Education
Skincare,Beauty
Surprise gift,Gift
Pet carrier,Pet
Cleaning supplies,Household
Parking fee,Transportation
Dinner outing,Social Life
Groceries,Food
Formal attire,Apparel
Academic fee,Education
Child allowance,Allowance
Development course,Education
Makeup,Beauty
Gift voucher,Gift
Pet medication,Pet
Utility bills,Household
Travel fare,Transportation
Lunch meeting,Social Life
Food delivery,Food
Casual clothes,Apparel
Class materials,Education
Living allowance,Allowance
Online training,Education
Beauty products,Beauty
New Year's gift,Gift
Pet supplies,Pet
Household items,Household
Commute fare,Transportation
Weekend outing,Social Life
Home-cooked meal,Food
Office wear,Apparel
Educational supplies,Education
Support allowance,Allowance
Personal development,Education
Spa treatment,Beauty
Gift wrap,Gift
Pet food,Pet
Utility payment,Household
Uber ride,Transportation
Night club,Social Life
Fast food,Food
Dress shirt,Apparel
School tuition,Education
Pocket allowance,Allowance
Coding bootcamp,Education
Hair color,Beauty
Wedding present,Gift
Pet collar,Pet
House rent,Household
Train fare,Transportation
Barbecue night,Social Life
Restaurant bill,Food
Summer shorts,Apparel
Library fee,Education
Daily stipend,Allowance
Yoga class,Education
Nail polish,Beauty
Birthday card,Gift
Pet leash,Pet
Rent payment,Household
Bus ticket,Transportation
Dining out,Social Life
Gourmet food,Food
Formal suit,Apparel
Exam fee,Education
Allowance for school,Allowance
Self-help book,Education
Lipstick,Beauty
Holiday card,Gift
Pet cage,Pet
Mortgage payment,Household
Taxi charge,Transportation
Dinner party,Social Life
Farmers market,Food
Winter boots,Apparel
Course fee,Education
College pocket money,Allowance
Leadership training,Education
Perfume,Beauty
Thank you gift,Gift
Pet treats,Pet
Home insurance,Household
Tram ticket,Transportation
Birthday celebration,Social Life
Cafe bill,Food
New trousers,Apparel
School trip fee,Education
Weekly pocket change,Allowance
Business seminar,Education
Body lotion,Beauty
Farewell gift,Gift
Pet bed,Pet
Property tax,Household
Plane fare,Transportation
Friends reunion,Social Life
Dining expense,Food
Office attire,Apparel
College fee,Education
Monthly school allowance,Allowance
Time management course,Education
Skin cream,Beauty
Gift bag,Gift
Pet water bowl,Pet
House maintenance,Household
Metro pass,Transportation
Cocktail party,Social Life
Brunch,Food
Gym gear,Apparel
Lab fee,Education
Allowance for kids,Allowance
Productivity workshop,Education
Hair serum,Beauty
Engagement gift,Gift
Pet shampoo,Pet
Home improvement,Household
Ferry ride,Transportation
Dance night,Social Life
Lunch outing,Food
Raincoat,Apparel
School donation,Education
Allowance for books,Allowance
Mindfulness course,Education
Beauty mask,Beauty
Surprise party gift,Gift
Pet blanket,Pet
Water bill payment,Household
Scooter fare,Transportation
Graduation party,Social Life
Buffet meal,Food
Leather jacket,Apparel
Lab supplies,Education
Monthly allowance for children,Allowance
Career counseling,Education
Moisturizer,Beauty
Anniversary card,Gift
Pet toys basket,Pet
Furniture assembly,Household
Taxi to airport,Transportation
Pub night,Social Life
Takeout food,Food
Rain boots,Apparel
Education grant,Education
Allowance for meals,Allowance
Creative writing class,Education
Face wash,Beauty
Congrats gift,Gift
Pet vitamins,Pet
Cable bill,Household
Bike rental,Transportation
Family dinner,Social Life
Dessert shop,Food
Sweatshirt,Apparel
School supplies,Education
Monthly children's pocket money,Allowance
Stress management course,Education
Foundation,Beauty
Holiday season gift,Gift
Pet training toys,Pet
Monthly HOA fee,Household
Parking payment,Transportation
Gala night,Social Life
Bakery visit,Food
Casual jacket,Apparel
Enrollment fee,Education
Weekly kid's allowance,Allowance
Motivational course,Education
Sunscreen,Beauty
Housewarming gift,Gift
Pet food bowl,Pet
Security system,Household
Bus ride,Transportation
Social event,Social Life
Ice cream shop,Food
Tennis shoes,Apparel
Activity fee,Education
Allowance for snacks,Allowance
Personal growth seminar,Education
Shampoo,Beauty
Housewarming present,Gift
Pet grooming kit,Pet
Grocery bill,Food
Internet subscription,Household
Monthly bus pass,Transportation
Weekend brunch,Social Life
Summer sandals,Apparel
College textbook,Education
Daily spending money,Allowance
Leadership conference,Education
Facial scrub,Beauty
Christmas present,Gift
Pet kennel,Pet
House utility bills,Household
Daily commute,Transportation
Friend's birthday,Social Life
Weekly groceries,Food
Workout gear,Apparel
Tuition payment,Education
Weekly lunch money,Allowance
Skill enhancement course,Education
Hand cream,Beauty
Thanksgiving gift,Gift
Pet health check,Pet
Electricity charges,Household
Train ride,Transportation
Team outing,Social Life
Organic food,Food
Winter gloves,Apparel
School fee,Education
Allowance for school trip,Allowance
Art class,Education
Body wash,Beauty
Holiday bonus,Gift
Pet healthcare,Pet
Home cleaning,Household
Taxi fare to work,Transportation
Night out with friends,Social Life
Healthy snacks,Food
Business attire,Apparel
Education materials,Education
Monthly kid's allowance,Allowance
Motivational speaker event,Education
Face mask,Beauty
New Year gift,Gift
Pet food supplements,Pet
House maintenance fee,Household
Public transport ticket,Transportation
Dinner with family,Social Life
Weekly food shopping,Food
Sports shoes,Apparel
Library membership,Education
Allowance for supplies,Allowance
Career development session,Education
Beauty blender,Beauty
Valentine's day gift,Gift
Pet dental care,Pet
Monthly rent payment,Household
Bike sharing,Transportation
Community event,Social Life
Restaurant dinner,Food
Formal shoes,Apparel
Exam registration,Education
Weekly study allowance,Allowance
Public speaking class,Education
Hair conditioner,Beauty
Baby shower gift,Gift
Pet travel crate,Pet
Gardening tools,Household
Ride-sharing service,Transportation
Weekend getaway,Social Life
Gourmet restaurant,Food
Designer dress,Apparel
Educational course,Education
Allowance for books,Allowance
Workshops and seminars,Education
Skin toner,Beauty
Secret Santa gift,Gift
Pet care products,Pet
Home security,Household
Parking ticket,Transportation
Holiday party,Social Life
Home baking,Food
Fashion accessories,Apparel
College enrollment,Education
Weekly spending money,Allowance
Networking event,Education
Nail care,Beauty
Get-well-soon gift,Gift
Pet grooming service,Pet
Monthly mortgage,Household
Bus commute,Transportation
Evening with colleagues,Social Life
Organic groceries,Food
Casual footwear,Apparel
Educational trip,Education
Allowance for activities,Allowance
Personal growth workshop,Education
Serum,Beauty
Birthday surprise,Gift
Pet veterinary visit,Pet
Household items,Household
Travel expense,Transportation
Family gathering,Social Life
Weekly market,Food
Sports attire,Apparel
Classroom supplies,Education
Monthly expense allowance,Allowance
Life coaching,Education
Cosmetic set,Beauty
Gift for coworker,Gift
Pet safety gear,Pet
Home renovation,Household
Transport card,Transportation
Office party,Social Life
Cooking class,Food
Fashionable outfit,Apparel
School club fee,Education
Allowance for entertainment,Allowance
Inspirational seminar,Education
Lip balm,Beauty
Household gift,Gift
Pet bath products,Pet
Home loan,Household
Rideshare app,Transportation
Neighborhood meetup,Social Life
Dinner reservation,Food
Designer shoes,Apparel
Scholarship fee,Education
Monthly expense money,Allowance
Productivity seminar,Education
Eye cream,Beauty
Wedding gift card,Gift
Pet care kit,Pet
Utility service,Household
Daily transportation,Transportation
Social club,Social Life
Food festival,Food
Office clothes,Apparel
Educational materials,Education
Allowance for outings,Allowance
Creative workshop,Education
Hair oil,Beauty
Festival gift,Gift
Pet food delivery,Pet
Apple iPhone,Other
Monthly Netflix subscription,Entertainment
Dinner at Olive Garden,Food
Rent for apartment,Household
Bus fare to office,Transportation
Gym membership,Health
Purchase of Levi's jeans,Apparel
Tuition for online course,Education
Weekly allowance from parents,Allowance
Seminar on digital marketing,Education
Purchase of L'Oréal shampoo,Beauty
Birthday gift for John,Gift
Pet food from PetSmart,Pet
Electricity bill payment,Household
Uber ride to airport,Transportation
Friday night drinks at Bar Louie,Social Life
Grocery shopping at Whole Foods,Food
Nike running shoes,Apparel
Fee for Coursera course,Education
Allowance for weekly outings,Allowance
Workshop on leadership skills,Education
Skincare set from Sephora,Beauty
Anniversary gift for parents,Gift
Pet grooming at Petco,Pet
Water bill for the month,Household
Lyft ride to downtown,Transportation
Dinner at Cheesecake Factory,Social Life
Vegetables from farmers market,Food
Zara summer dress,Apparel
Exam registration for PMP,Education
Allowance for school supplies,Allowance
Webinar on time management,Education
Facial mask from The Body Shop,Beauty
Christmas gift for family,Gift
Pet toys from Chewy,Pet
Gas bill for apartment,Household
Subway fare for daily commute,Transportation
Weekend brunch at IHOP,Social Life
